row_number,date,facebook_ad_campaign,facebook_ad_views,facebook_ad_clicks,facebook_ad_conversions,facebook_cost_per_ad,facebook_ctr,facebook_conversion_rate,facebook_cost_per_click,adword_ad_campaign,adword_ad_views,adword_ad_clicks,adword_ad_conversions,adword_cost_per_ad,adword_ctr,adword_conversion_rate,adword_cost_per_click
162,2022-08-19,FACEBOOK AD,1470,43,8,62,2.925170068,18.6046511628,1.4418604651,ADWORD AD,4578,89,3,175,1.9440803844,3.3707865169,1.9662921348
163,2023-09-21,FACEBOOK AD,2823,22,15,151,0.7793127878,68.1818181818,6.8636363636,ADWORD AD,4011,78,8,97,1.9446522064,10.2564102564,1.2435897436
164,2023-01-02,FACEBOOK AD,1283,17,15,153,1.3250194856,88.2352941176,9,ADWORD AD,4095,44,7,200,1.0744810745,15.9090909091,4.5454545455
165,2024-12-07,FACEBOOK AD,1099,55,19,235,5.0045495905,34.5454545455,4.2727272727,ADWORD AD,4834,59,3,130,1.2205213074,5.0847457627,2.2033898305
166,2024-03-02,FACEBOOK AD,1650,50,6,82,3.0303030303,12,1.64,ADWORD AD,4222,61,3,188,1.4448128849,4.9180327869,3.0819672131
167,2022-02-07,FACEBOOK AD,3107,17,11,99,0.5471515932,64.7058823529,5.8235294118,ADWORD AD,4435,32,3,150,0.7215332582,9.375,4.6875
168,2023-10-20,FACEBOOK AD,1805,52,14,77,2.8808864266,26.9230769231,1.4807692308,ADWORD AD,5434,49,4,120,0.9017298491,8.1632653061,2.4489795918
169,2024-05-02,FACEBOOK AD,1372,60,18,92,4.3731778426,30,1.5333333333,ADWORD AD,5562,70,6,61,1.2585400935,8.5714285714,0.8714285714
170,2024-04-12,FACEBOOK AD,2050,53,17,140,2.5853658537,32.0754716981,2.641509434,ADWORD AD,3973,77,9,185,1.9380820539,11.6883116883,2.4025974026
171,2022-12-01,FACEBOOK AD,1087,38,6,97,3.4958601656,15.7894736842,2.5526315789,ADWORD AD,5118,62,3,120,1.2114107073,4.8387096774,1.935483871
172,2023-09-19,FACEBOOK AD,2091,44,19,187,2.1042563367,43.1818181818,4.25,ADWORD AD,4568,62,6,110,1.357267951,9.6774193548,1.7741935484
173,2022-01-12,FACEBOOK AD,2297,60,11,195,2.6121027427,18.3333333333,3.25,ADWORD AD,5409,69,3,196,1.2756516916,4.347826087,2.8405797101
174,2024-04-17,FACEBOOK AD,2325,51,8,115,2.1935483871,15.6862745098,2.2549019608,ADWORD AD,4518,66,3,144,1.4608233732,4.5454545455,2.1818181818
175,2023-12-22,FACEBOOK AD,3147,46,15,129,1.4617095647,32.6086956522,2.8043478261,ADWORD AD,4440,35,6,184,0.7882882883,17.1428571429,5.2571428571
176,2022-01-09,FACEBOOK AD,1325,47,6,216,3.5471698113,12.7659574468,4.5957446809,ADWORD AD,4301,51,5,61,1.185770751,9.8039215686,1.1960784314
177,2024-07-18,FACEBOOK AD,2520,54,19,149,2.1428571429,35.1851851852,2.7592592593,ADWORD AD,3962,62,7,140,1.5648662292,11.2903225806,2.2580645161
178,2024-10-13,FACEBOOK AD,1971,49,13,73,2.4860476915,26.5306122449,1.4897959184,ADWORD AD,4128,83,4,139,2.0106589147,4.8192771084,1.6746987952
179,2022-12-03,FACEBOOK AD,1939,49,13,215,2.5270758123,26.5306122449,4.387755102,ADWORD AD,5399,69,8,156,1.2780144471,11.5942028986,2.2608695652
180,2024-12-06,FACEBOOK AD,2966,67,5,208,2.258934592,7.4626865672,3.1044776119,ADWORD AD,4544,61,6,89,1.3424295775,9.8360655738,1.4590163934
181,2023-07-28,FACEBOOK AD,1638,62,10,82,3.7851037851,16.1290322581,1.3225806452,ADWORD AD,5058,77,3,195,1.5223408462,3.8961038961,2.5324675325
182,2023-10-29,FACEBOOK AD,1766,63,13,69,3.5673839185,20.6349206349,1.0952380952,ADWORD AD,4554,78,7,165,1.7127799736,8.9743589744,2.1153846154
183,2024-09-22,FACEBOOK AD,3216,55,19,92,1.710199005,34.5454545455,1.6727272727,ADWORD AD,3812,83,8,113,2.1773347324,9.6385542169,1.3614457831
184,2022-12-02,FACEBOOK AD,2168,20,8,90,0.9225092251,40,4.5,ADWORD AD,5470,38,8,95,0.6946983547,21.0526315789,2.5
185,2024-07-25,FACEBOOK AD,1740,27,13,75,1.5517241379,48.1481481481,2.7777777778,ADWORD AD,4844,72,4,51,1.4863748968,5.5555555556,0.7083333333
186,2022-02-24,FACEBOOK AD,1097,37,11,231,3.3728350046,29.7297297297,6.2432432432,ADWORD AD,4034,57,3,71,1.4129895885,5.2631578947,1.2456140351
187,2024-08-28,FACEBOOK AD,2729,39,7,102,1.4290949066,17.9487179487,2.6153846154,ADWORD AD,5257,77,9,160,1.464713715,11.6883116883,2.0779220779
188,2022-10-26,FACEBOOK AD,2118,42,14,193,1.9830028329,33.3333333333,4.5952380952,ADWORD AD,4193,56,5,66,1.3355592654,8.9285714286,1.1785714286
189,2024-01-22,FACEBOOK AD,1544,49,14,177,3.1735751295,28.5714285714,3.612244898,ADWORD AD,3915,36,8,67,0.9195402299,22.2222222222,1.8611111111
190,2024-06-30,FACEBOOK AD,2474,34,10,85,1.3742926435,29.4117647059,2.5,ADWORD AD,3974,85,3,135,2.1389028686,3.5294117647,1.5882352941
191,2023-02-19,FACEBOOK AD,2158,68,5,243,3.1510658017,7.3529411765,3.5735294118,ADWORD AD,5430,89,7,90,1.6390423573,7.8651685393,1.0112359551
192,2023-03-27,FACEBOOK AD,3066,33,17,80,1.0763209393,51.5151515152,2.4242424242,ADWORD AD,3715,88,5,105,2.3687752355,5.6818181818,1.1931818182
193,2023-09-28,FACEBOOK AD,1274,18,19,117,1.4128728414,105.5555555556,6.5,ADWORD AD,4717,66,9,107,1.3991944032,13.6363636364,1.6212121212
194,2023-04-27,FACEBOOK AD,3068,37,9,167,1.2059973924,24.3243243243,4.5135135135,ADWORD AD,4032,57,5,95,1.4136904762,8.7719298246,1.6666666667
195,2022-07-22,FACEBOOK AD,1196,28,17,168,2.3411371237,60.7142857143,6,ADWORD AD,3784,47,8,157,1.2420718816,17.0212765957,3.3404255319
196,2023-02-03,FACEBOOK AD,3274,57,6,232,1.7409896151,10.5263157895,4.0701754386,ADWORD AD,4121,69,5,106,1.6743508857,7.2463768116,1.5362318841
197,2023-07-19,FACEBOOK AD,2276,31,19,239,1.3620386643,61.2903225806,7.7096774194,ADWORD AD,5509,58,6,105,1.0528226538,10.3448275862,1.8103448276
198,2022-07-30,FACEBOOK AD,2592,17,19,110,0.6558641975,111.7647058824,6.4705882353,ADWORD AD,4366,34,6,141,0.7787448465,17.6470588235,4.1470588235
199,2021-12-30,FACEBOOK AD,2949,68,17,76,2.3058663954,25,1.1176470588,ADWORD AD,4916,86,8,182,1.7493897478,9.3023255814,2.1162790698
200,2023-05-07,FACEBOOK AD,1948,51,14,139,2.6180698152,27.4509803922,2.7254901961,ADWORD AD,5659,71,8,197,1.2546386287,11.2676056338,2.7746478873
201,2022-10-20,FACEBOOK AD,2971,44,7,151,1.4809828341,15.9090909091,3.4318181818,ADWORD AD,5445,49,8,121,0.8999081726,16.3265306122,2.4693877551
202,2023-07-29,FACEBOOK AD,1898,68,5,247,3.5827186512,7.3529411765,3.6323529412,ADWORD AD,4486,45,4,147,1.0031208203,8.8888888889,3.2666666667
203,2024-11-22,FACEBOOK AD,3308,53,7,191,1.6021765417,13.2075471698,3.6037735849,ADWORD AD,4600,33,8,73,0.7173913043,24.2424242424,2.2121212121
204,2023-05-18,FACEBOOK AD,1925,72,17,128,3.7402597403,23.6111111111,1.7777777778,ADWORD AD,3744,43,9,148,1.1485042735,20.9302325581,3.4418604651
205,2023-04-02,FACEBOOK AD,1951,59,9,196,3.0240902101,15.2542372881,3.3220338983,ADWORD AD,4697,70,4,100,1.4903129657,5.7142857143,1.4285714286
206,2024-03-22,FACEBOOK AD,2348,54,10,61,2.2998296422,18.5185185185,1.1296296296,ADWORD AD,4392,41,5,113,0.9335154827,12.1951219512,2.756097561
207,2024-06-12,FACEBOOK AD,2596,52,12,121,2.0030816641,23.0769230769,2.3269230769,ADWORD AD,5624,43,5,144,0.7645803698,11.6279069767,3.3488372093
208,2023-07-01,FACEBOOK AD,2856,17,5,88,0.5952380952,29.4117647059,5.1764705882,ADWORD AD,5281,49,3,117,0.927854573,6.1224489796,2.387755102
209,2024-05-15,FACEBOOK AD,2327,53,9,189,2.2776106575,16.9811320755,3.5660377358,ADWORD AD,5629,70,8,103,1.243560135,11.4285714286,1.4714285714
210,2024-11-06,FACEBOOK AD,1531,35,10,195,2.2860875245,28.5714285714,5.5714285714,ADWORD AD,4692,53,9,61,1.1295822677,16.9811320755,1.1509433962
211,2023-11-21,FACEBOOK AD,2815,34,11,241,1.2078152753,32.3529411765,7.0882352941,ADWORD AD,3786,37,8,169,0.9772847332,21.6216216216,4.5675675676
212,2024-05-04,FACEBOOK AD,2808,34,16,130,1.2108262108,47.0588235294,3.8235294118,ADWORD AD,5022,51,3,164,1.0155316607,5.8823529412,3.2156862745
213,2023-08-21,FACEBOOK AD,2188,46,17,198,2.1023765996,36.9565217391,4.3043478261,ADWORD AD,4833,84,5,135,1.7380509001,5.9523809524,1.6071428571
214,2022-12-15,FACEBOOK AD,1051,35,17,133,3.3301617507,48.5714285714,3.8,ADWORD AD,5072,87,8,163,1.7152996845,9.1954022989,1.8735632184
215,2022-02-12,FACEBOOK AD,2616,30,13,187,1.1467889908,43.3333333333,6.2333333333,ADWORD AD,4944,39,7,100,0.7888349515,17.9487179487,2.5641025641
216,2022-05-24,FACEBOOK AD,2189,65,6,104,2.9693924166,9.2307692308,1.6,ADWORD AD,3889,34,8,119,0.8742607354,23.5294117647,3.5
217,2024-09-27,FACEBOOK AD,1872,52,7,227,2.7777777778,13.4615384615,4.3653846154,ADWORD AD,3761,52,4,179,1.3826110077,7.6923076923,3.4423076923
218,2022-03-01,FACEBOOK AD,2312,62,17,134,2.6816608997,27.4193548387,2.1612903226,ADWORD AD,5317,56,8,108,1.0532255031,14.2857142857,1.9285714286
219,2023-08-30,FACEBOOK AD,3117,23,5,143,0.7378889958,21.7391304348,6.2173913043,ADWORD AD,5365,43,8,127,0.8014911463,18.6046511628,2.9534883721
220,2024-07-02,FACEBOOK AD,2334,37,13,98,1.5852613539,35.1351351351,2.6486486486,ADWORD AD,5629,75,6,179,1.3323858589,8,2.3866666667
221,2023-10-12,FACEBOOK AD,2562,20,15,103,0.7806401249,75,5.15,ADWORD AD,4668,48,6,96,1.028277635,12.5,2
222,2023-03-16,FACEBOOK AD,1252,60,6,81,4.7923322684,10,1.35,ADWORD AD,4571,36,5,179,0.787573835,13.8888888889,4.9722222222
223,2022-12-04,FACEBOOK AD,1886,46,10,246,2.4390243902,21.7391304348,5.347826087,ADWORD AD,4227,51,7,82,1.2065294535,13.7254901961,1.6078431373
224,2022-11-24,FACEBOOK AD,1584,36,10,200,2.2727272727,27.7777777778,5.5555555556,ADWORD AD,4686,72,5,120,1.5364916773,6.9444444444,1.6666666667
225,2022-06-04,FACEBOOK AD,1330,17,15,250,1.2781954887,88.2352941176,14.7058823529,ADWORD AD,5070,39,9,182,0.7692307692,23.0769230769,4.6666666667
226,2023-03-13,FACEBOOK AD,2896,56,14,100,1.9337016575,25,1.7857142857,ADWORD AD,3764,78,4,158,2.0722635494,5.1282051282,2.0256410256
227,2021-12-25,FACEBOOK AD,1936,53,15,66,2.7376033058,28.3018867925,1.2452830189,ADWORD AD,4702,38,9,187,0.8081667376,23.6842105263,4.9210526316
228,2024-04-10,FACEBOOK AD,2222,38,8,152,1.7101710171,21.0526315789,4,ADWORD AD,5714,79,5,135,1.3825691285,6.3291139241,1.7088607595
229,2022-10-07,FACEBOOK AD,3187,27,10,76,0.8471917163,37.037037037,2.8148148148,ADWORD AD,4630,60,4,70,1.2958963283,6.6666666667,1.1666666667
230,2023-02-17,FACEBOOK AD,2053,44,9,123,2.1432050658,20.4545454545,2.7954545455,ADWORD AD,4098,53,4,174,1.2933138116,7.5471698113,3.2830188679
231,2022-12-04,FACEBOOK AD,2054,38,9,234,1.8500486855,23.6842105263,6.1578947368,ADWORD AD,4609,60,7,107,1.3018008245,11.6666666667,1.7833333333
232,2023-01-19,FACEBOOK AD,2334,55,19,241,2.3564695801,34.5454545455,4.3818181818,ADWORD AD,3809,82,5,197,2.1527960095,6.0975609756,2.4024390244
233,2023-02-15,FACEBOOK AD,2739,15,13,222,0.547645126,86.6666666667,14.8,ADWORD AD,5664,55,9,102,0.9710451977,16.3636363636,1.8545454545
234,2024-12-03,FACEBOOK AD,1442,19,16,247,1.3176144244,84.2105263158,13,ADWORD AD,4403,74,6,130,1.6806722689,8.1081081081,1.7567567568
235,2022-05-06,FACEBOOK AD,2577,73,12,220,2.8327512612,16.4383561644,3.0136986301,ADWORD AD,5217,44,7,195,0.8433965881,15.9090909091,4.4318181818
236,2022-03-03,FACEBOOK AD,3191,17,16,242,0.5327483547,94.1176470588,14.2352941176,ADWORD AD,5722,69,6,106,1.2058720727,8.6956521739,1.5362318841
237,2022-03-14,FACEBOOK AD,2312,65,15,241,2.8114186851,23.0769230769,3.7076923077,ADWORD AD,4471,65,9,178,1.4538134645,13.8461538462,2.7384615385
238,2024-03-17,FACEBOOK AD,1237,67,10,198,5.4163298302,14.9253731343,2.9552238806,ADWORD AD,4260,54,7,69,1.2676056338,12.962962963,1.2777777778
239,2023-06-09,FACEBOOK AD,2184,40,12,81,1.8315018315,30,2.025,ADWORD AD,4076,34,6,89,0.8341511286,17.6470588235,2.6176470588
240,2024-12-10,FACEBOOK AD,1749,46,19,105,2.6300743282,41.3043478261,2.2826086957,ADWORD AD,4694,37,8,194,0.7882403068,21.6216216216,5.2432432432
241,2022-02-20,FACEBOOK AD,1679,36,15,68,2.1441334127,41.6666666667,1.8888888889,ADWORD AD,4041,53,6,166,1.3115565454,11.320754717,3.1320754717
242,2023-06-04,FACEBOOK AD,1069,61,17,94,5.7062675398,27.868852459,1.5409836066,ADWORD AD,4916,65,7,178,1.3222131814,10.7692307692,2.7384615385
243,2023-09-30,FACEBOOK AD,1731,73,15,158,4.2172154824,20.5479452055,2.1643835616,ADWORD AD,4790,59,5,167,1.2317327766,8.4745762712,2.8305084746
244,2022-08-04,FACEBOOK AD,2032,38,16,240,1.8700787402,42.1052631579,6.3157894737,ADWORD AD,3883,40,7,198,1.0301313417,17.5,4.95
245,2024-08-10,FACEBOOK AD,3250,32,18,250,0.9846153846,56.25,7.8125,ADWORD AD,4901,54,3,188,1.1018159559,5.5555555556,3.4814814815
246,2024-01-08,FACEBOOK AD,1630,15,14,248,0.9202453988,93.3333333333,16.5333333333,ADWORD AD,5609,50,7,195,0.8914244963,14,3.9
247,2024-04-20,FACEBOOK AD,1267,49,8,246,3.8674033149,16.3265306122,5.0204081633,ADWORD AD,5453,37,6,192,0.6785255822,16.2162162162,5.1891891892
248,2024-01-16,FACEBOOK AD,3312,46,12,144,1.3888888889,26.0869565217,3.1304347826,ADWORD AD,4304,88,3,97,2.0446096654,3.4090909091,1.1022727273
249,2024-06-08,FACEBOOK AD,1937,45,13,231,2.3231801755,28.8888888889,5.1333333333,ADWORD AD,5177,64,4,85,1.236237203,6.25,1.328125
250,2022-01-28,FACEBOOK AD,3094,37,6,177,1.1958629606,16.2162162162,4.7837837838,ADWORD AD,4962,77,8,136,1.5517936316,10.3896103896,1.7662337662
251,2024-08-19,FACEBOOK AD,2668,69,16,127,2.5862068966,23.1884057971,1.8405797101,ADWORD AD,4226,83,5,58,1.9640321817,6.0240963855,0.6987951807
252,2024-07-09,FACEBOOK AD,1516,16,19,244,1.055408971,118.75,15.25,ADWORD AD,5702,68,4,103,1.1925640126,5.8823529412,1.5147058824
253,2024-04-02,FACEBOOK AD,1054,55,18,160,5.2182163188,32.7272727273,2.9090909091,ADWORD AD,3937,43,9,184,1.0922021844,20.9302325581,4.2790697674
254,2023-03-03,FACEBOOK AD,2109,57,15,123,2.7027027027,26.3157894737,2.1578947368,ADWORD AD,4838,75,9,78,1.5502273667,12,1.04
255,2024-01-18,FACEBOOK AD,1888,44,19,81,2.3305084746,43.1818181818,1.8409090909,ADWORD AD,5609,39,5,197,0.6953111071,12.8205128205,5.0512820513
256,2024-08-29,FACEBOOK AD,1075,31,17,240,2.8837209302,54.8387096774,7.7419354839,ADWORD AD,4819,87,8,66,1.8053538078,9.1954022989,0.7586206897
257,2023-02-26,FACEBOOK AD,3074,41,12,135,1.3337670787,29.2682926829,3.2926829268,ADWORD AD,4169,84,4,79,2.0148716719,4.7619047619,0.9404761905
258,2024-08-21,FACEBOOK AD,1292,22,12,118,1.7027863777,54.5454545455,5.3636363636,ADWORD AD,5319,68,7,172,1.2784357962,10.2941176471,2.5294117647
259,2023-11-16,FACEBOOK AD,2310,65,8,181,2.8138528139,12.3076923077,2.7846153846,ADWORD AD,5291,63,9,146,1.1907011907,14.2857142857,2.3174603175
260,2024-10-16,FACEBOOK AD,3207,16,19,248,0.4989086374,118.75,15.5,ADWORD AD,5290,74,3,51,1.3988657845,4.0540540541,0.6891891892
261,2023-08-26,FACEBOOK AD,2058,42,12,205,2.0408163265,28.5714285714,4.880952381,ADWORD AD,3839,78,5,72,2.0317791091,6.4102564103,0.9230769231
262,2023-11-04,FACEBOOK AD,1289,26,16,65,2.0170674942,61.5384615385,2.5,ADWORD AD,4578,43,5,116,0.9392747925,11.6279069767,2.6976744186
263,2023-10-08,FACEBOOK AD,2686,38,19,124,1.4147431124,50,3.2631578947,ADWORD AD,4193,45,3,170,1.0732172669,6.6666666667,3.7777777778
264,2022-06-21,FACEBOOK AD,2379,60,6,128,2.5220680958,10,2.1333333333,ADWORD AD,3965,46,4,155,1.1601513241,8.6956521739,3.3695652174
265,2022-05-17,FACEBOOK AD,3270,57,8,235,1.7431192661,14.0350877193,4.1228070175,ADWORD AD,4605,52,7,64,1.1292073833,13.4615384615,1.2307692308
266,2022-11-26,FACEBOOK AD,1557,28,15,172,1.798330122,53.5714285714,6.1428571429,ADWORD AD,3879,43,9,120,1.1085331271,20.9302325581,2.7906976744
267,2022-01-29,FACEBOOK AD,3238,28,15,99,0.8647313156,53.5714285714,3.5357142857,ADWORD AD,4214,40,3,123,0.9492168961,7.5,3.075
268,2022-04-30,FACEBOOK AD,1194,54,13,117,4.5226130653,24.0740740741,2.1666666667,ADWORD AD,4750,33,3,62,0.6947368421,9.0909090909,1.8787878788
269,2023-02-18,FACEBOOK AD,1071,60,13,93,5.6022408964,21.6666666667,1.55,ADWORD AD,5415,53,7,99,0.9787626962,13.2075471698,1.8679245283
270,2024-03-26,FACEBOOK AD,2295,67,10,192,2.9193899782,14.9253731343,2.8656716418,ADWORD AD,5151,51,8,189,0.9900990099,15.6862745098,3.7058823529
271,2024-05-07,FACEBOOK AD,2485,58,5,240,2.3340040241,8.6206896552,4.1379310345,ADWORD AD,4822,49,6,190,1.0161758606,12.2448979592,3.8775510204
272,2024-06-10,FACEBOOK AD,3006,37,7,174,1.2308715902,18.9189189189,4.7027027027,ADWORD AD,4688,33,9,127,0.7039249147,27.2727272727,3.8484848485
273,2022-08-23,FACEBOOK AD,1319,49,9,98,3.7149355572,18.3673469388,2,ADWORD AD,3850,50,4,150,1.2987012987,8,3
274,2023-07-08,FACEBOOK AD,2761,62,15,162,2.2455632017,24.1935483871,2.6129032258,ADWORD AD,4622,68,3,138,1.4712245781,4.4117647059,2.0294117647
275,2023-08-05,FACEBOOK AD,1949,42,12,154,2.1549512571,28.5714285714,3.6666666667,ADWORD AD,3814,32,3,99,0.8390141584,9.375,3.09375
276,2023-04-15,FACEBOOK AD,1963,31,17,177,1.5792154865,54.8387096774,5.7096774194,ADWORD AD,4943,73,7,63,1.4768359296,9.5890410959,0.8630136986
277,2023-10-21,FACEBOOK AD,2554,66,15,87,2.5841816758,22.7272727273,1.3181818182,ADWORD AD,4247,86,3,199,2.0249587944,3.488372093,2.3139534884
278,2023-10-27,FACEBOOK AD,2445,32,17,171,1.308793456,53.125,5.34375,ADWORD AD,5649,60,3,198,1.0621348911,5,3.3
279,2023-04-12,FACEBOOK AD,2681,51,17,235,1.9022752704,33.3333333333,4.6078431373,ADWORD AD,5177,45,5,126,0.8692292834,11.1111111111,2.8
280,2022-12-06,FACEBOOK AD,2146,24,6,141,1.118359739,25,5.875,ADWORD AD,5706,42,9,127,0.7360672976,21.4285714286,3.0238095238
281,2023-01-06,FACEBOOK AD,3178,57,5,90,1.7935808685,8.7719298246,1.5789473684,ADWORD AD,4390,89,6,164,2.0273348519,6.7415730337,1.8426966292
282,2023-11-11,FACEBOOK AD,1485,17,15,138,1.1447811448,88.2352941176,8.1176470588,ADWORD AD,4911,40,8,78,0.8144980656,20,1.95
283,2022-02-09,FACEBOOK AD,2610,46,13,208,1.7624521073,28.2608695652,4.5217391304,ADWORD AD,5620,44,7,188,0.7829181495,15.9090909091,4.2727272727
284,2023-12-22,FACEBOOK AD,2399,63,11,185,2.6260942059,17.4603174603,2.9365079365,ADWORD AD,5727,71,7,171,1.239741575,9.8591549296,2.4084507042
285,2023-01-20,FACEBOOK AD,2040,44,18,206,2.1568627451,40.9090909091,4.6818181818,ADWORD AD,4373,61,6,127,1.3949233936,9.8360655738,2.0819672131
286,2022-05-16,FACEBOOK AD,3236,17,16,218,0.5253399258,94.1176470588,12.8235294118,ADWORD AD,4876,72,3,107,1.4766201805,4.1666666667,1.4861111111
287,2024-09-27,FACEBOOK AD,1783,65,14,224,3.6455412227,21.5384615385,3.4461538462,ADWORD AD,5162,74,5,186,1.4335528865,6.7567567568,2.5135135135
288,2024-12-13,FACEBOOK AD,1198,53,11,222,4.4240400668,20.7547169811,4.1886792453,ADWORD AD,4599,77,7,72,1.6742770167,9.0909090909,0.9350649351
289,2022-05-03,FACEBOOK AD,2016,38,19,197,1.8849206349,50,5.1842105263,ADWORD AD,4518,32,9,186,0.7082779991,28.125,5.8125
290,2024-11-12,FACEBOOK AD,2664,70,19,105,2.6276276276,27.1428571429,1.5,ADWORD AD,5132,75,6,73,1.4614185503,8,0.9733333333
291,2024-10-23,FACEBOOK AD,2093,26,19,247,1.2422360248,73.0769230769,9.5,ADWORD AD,4594,42,8,145,0.9142359599,19.0476190476,3.4523809524
292,2023-05-13,FACEBOOK AD,2002,55,14,234,2.7472527473,25.4545454545,4.2545454545,ADWORD AD,5667,45,3,191,0.794070937,6.6666666667,4.2444444444
293,2022-06-11,FACEBOOK AD,3014,41,6,163,1.3603185136,14.6341463415,3.9756097561,ADWORD AD,5280,37,8,78,0.7007575758,21.6216216216,2.1081081081
294,2022-05-08,FACEBOOK AD,3186,16,7,192,0.5021971124,43.75,12,ADWORD AD,3998,46,5,153,1.1505752876,10.8695652174,3.3260869565
295,2024-03-16,FACEBOOK AD,3055,40,8,91,1.3093289689,20,2.275,ADWORD AD,4964,47,3,77,0.946817083,6.3829787234,1.6382978723
296,2023-12-30,FACEBOOK AD,1756,45,12,68,2.562642369,26.6666666667,1.5111111111,ADWORD AD,4712,44,7,100,0.9337860781,15.9090909091,2.2727272727
297,2024-07-25,FACEBOOK AD,2163,26,10,158,1.2020342117,38.4615384615,6.0769230769,ADWORD AD,5090,45,7,108,0.884086444,15.5555555556,2.4
298,2023-01-11,FACEBOOK AD,2206,56,8,219,2.5385312783,14.2857142857,3.9107142857,ADWORD AD,4416,57,3,79,1.2907608696,5.2631578947,1.3859649123
299,2024-04-17,FACEBOOK AD,1954,21,8,111,1.0747185261,38.0952380952,5.2857142857,ADWORD AD,4801,74,7,114,1.541345553,9.4594594595,1.5405405405
300,2024-11-01,FACEBOOK AD,2700,16,14,95,0.5925925926,87.5,5.9375,ADWORD AD,5042,37,4,158,0.7338357795,10.8108108108,4.2702702703
301,2022-12-15,FACEBOOK AD,2531,39,18,107,1.5408929277,46.1538461538,2.7435897436,ADWORD AD,4800,89,9,158,1.8541666667,10.1123595506,1.7752808989
302,2022-02-07,FACEBOOK AD,2913,30,6,173,1.0298661174,20,5.7666666667,ADWORD AD,3959,69,7,131,1.7428643597,10.1449275362,1.8985507246
303,2024-04-21,FACEBOOK AD,2000,23,11,177,1.15,47.8260869565,7.6956521739,ADWORD AD,5185,84,6,171,1.6200578592,7.1428571429,2.0357142857
304,2022-11-04,FACEBOOK AD,2459,50,8,106,2.033346889,16,2.12,ADWORD AD,4276,63,9,152,1.4733395697,14.2857142857,2.4126984127
305,2024-10-03,FACEBOOK AD,2916,24,9,112,0.8230452675,37.5,4.6666666667,ADWORD AD,4398,34,8,75,0.7730786721,23.5294117647,2.2058823529
306,2022-02-16,FACEBOOK AD,1577,49,7,92,3.1071655041,14.2857142857,1.8775510204,ADWORD AD,5083,88,6,184,1.7312610663,6.8181818182,2.0909090909
307,2024-05-08,FACEBOOK AD,1199,49,19,214,4.0867389491,38.7755102041,4.3673469388,ADWORD AD,4394,75,6,134,1.7068730086,8,1.7866666667
308,2024-01-18,FACEBOOK AD,1900,41,7,118,2.1578947368,17.0731707317,2.8780487805,ADWORD AD,4023,85,3,62,2.1128511061,3.5294117647,0.7294117647
309,2023-06-08,FACEBOOK AD,1062,65,9,133,6.120527307,13.8461538462,2.0461538462,ADWORD AD,5655,69,5,118,1.2201591512,7.2463768116,1.7101449275
310,2023-02-01,FACEBOOK AD,1489,54,19,222,3.6265950302,35.1851851852,4.1111111111,ADWORD AD,3758,46,6,71,1.2240553486,13.0434782609,1.5434782609
311,2023-03-13,FACEBOOK AD,1432,63,10,247,4.3994413408,15.873015873,3.9206349206,ADWORD AD,5306,35,8,189,0.6596306069,22.8571428571,5.4
312,2022-04-14,FACEBOOK AD,1616,53,17,150,3.2797029703,32.0754716981,2.8301886792,ADWORD AD,4898,32,9,81,0.6533278889,28.125,2.53125
313,2024-12-06,FACEBOOK AD,3200,41,5,170,1.28125,12.1951219512,4.1463414634,ADWORD AD,3836,87,9,58,2.267987487,10.3448275862,0.6666666667
314,2024-07-25,FACEBOOK AD,1373,68,16,72,4.9526584122,23.5294117647,1.0588235294,ADWORD AD,5728,80,3,61,1.3966480447,3.75,0.7625
315,2024-03-25,FACEBOOK AD,2327,57,14,83,2.4495058015,24.5614035088,1.4561403509,ADWORD AD,4756,48,4,74,1.0092514718,8.3333333333,1.5416666667
316,2023-01-29,FACEBOOK AD,1395,66,12,103,4.7311827957,18.1818181818,1.5606060606,ADWORD AD,4989,71,8,97,1.423130888,11.2676056338,1.3661971831
317,2023-07-16,FACEBOOK AD,1297,17,18,231,1.3107170393,105.8823529412,13.5882352941,ADWORD AD,5621,85,3,134,1.5121864437,3.5294117647,1.5764705882
318,2022-03-30,FACEBOOK AD,2861,17,14,97,0.5941978329,82.3529411765,5.7058823529,ADWORD AD,5234,39,3,58,0.7451280092,7.6923076923,1.4871794872
319,2022-12-25,FACEBOOK AD,1382,42,7,105,3.0390738061,16.6666666667,2.5,ADWORD AD,5630,68,3,115,1.2078152753,4.4117647059,1.6911764706
320,2023-11-05,FACEBOOK AD,2546,55,16,151,2.1602513747,29.0909090909,2.7454545455,ADWORD AD,4274,63,8,154,1.4740290126,12.6984126984,2.4444444444
321,2024-11-25,FACEBOOK AD,1505,32,5,211,2.1262458472,15.625,6.59375,ADWORD AD,5402,48,8,157,0.8885597927,16.6666666667,3.2708333333
322,2022-02-15,FACEBOOK AD,3280,54,15,168,1.6463414634,27.7777777778,3.1111111111,ADWORD AD,3869,59,4,117,1.5249418454,6.7796610169,1.9830508475
323,2024-02-28,FACEBOOK AD,1459,54,12,86,3.7011651816,22.2222222222,1.5925925926,ADWORD AD,4183,71,9,77,1.6973464021,12.676056338,1.0845070423
324,2023-09-01,FACEBOOK AD,2685,48,15,155,1.7877094972,31.25,3.2291666667,ADWORD AD,4201,45,4,78,1.0711735301,8.8888888889,1.7333333333
